INFO  2012-06-30 01:06:45,985 212245ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
DEBUG 2012-06-30 01:12:34,668 560928ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:12:34,668 560928ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:12:35,172 561432ms MainViewModel          SetLesson          - || == Current Item : 22/50
DEBUG 2012-06-30 01:12:35,262 561522ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:12:35,263 561523ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:12:43,264 569523ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:12:43,264 569523ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:12:43,265 569524ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :8
DEBUG 2012-06-30 01:12:43,265 569524ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:12:43,265 569524ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:12:50,273 576532ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:12:50,273 576532ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:12:50,274 576533ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:12:50,274 576533ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:12:50,988 577248ms MainViewModel          SetLesson          - || == Current Item : 23/50
DEBUG 2012-06-30 01:12:51,098 577358ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:12:51,099 577359ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:12:59,104 585363ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:12:59,104 585363ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:12:59,104 585363ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :8
DEBUG 2012-06-30 01:12:59,105 585364ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:12:59,105 585364ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:13:06,101 592360ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:13:06,101 592360ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:13:06,101 592360ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:13:06,102 592361ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:13:06,760 593019ms MainViewModel          SetLesson          - || == Current Item : 24/50
DEBUG 2012-06-30 01:13:06,853 593112ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:13:06,853 593112ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:13:14,863 601123ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:13:14,863 601123ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:13:14,864 601124ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :8
DEBUG 2012-06-30 01:13:14,864 601124ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:13:14,865 601125ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:13:21,863 608122ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:13:21,863 608122ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:13:21,863 608122ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:13:21,864 608123ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:13:22,688 608947ms MainViewModel          SetLesson          - || == Current Item : 25/50
DEBUG 2012-06-30 01:13:22,788 609047ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:13:22,789 609048ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:13:30,786 617046ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:13:30,786 617046ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:13:30,787 617047ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-30 01:13:30,787 617047ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:13:30,788 617048ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:13:37,792 624051ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:13:37,792 624051ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:13:37,792 624051ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:13:37,793 624052ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:13:38,616 624875ms MainViewModel          SetLesson          - || == Current Item : 26/50
DEBUG 2012-06-30 01:13:38,726 624985ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:13:38,726 624985ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:13:46,723 632983ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:13:46,723 632983ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:13:46,724 632984ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-30 01:13:46,724 632984ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:13:46,725 632985ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:13:53,730 639989ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:13:53,730 639989ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:13:53,731 639990ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:13:53,731 639990ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:13:54,435 640694ms MainViewModel          SetLesson          - || == Current Item : 27/50
DEBUG 2012-06-30 01:13:54,551 640810ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:13:54,552 640811ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:14:02,543 648803ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:14:02,543 648803ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:14:02,544 648804ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-30 01:14:02,544 648804ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:14:02,544 648804ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:14:09,550 655809ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:14:09,550 655809ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:14:09,550 655809ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:14:09,551 655810ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:14:10,206 656465ms MainViewModel          SetLesson          - || == Current Item : 28/50
DEBUG 2012-06-30 01:14:10,308 656567ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:14:10,308 656567ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:14:18,308 664568ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:14:18,308 664568ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:14:18,309 664569ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :8
DEBUG 2012-06-30 01:14:18,309 664569ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:14:18,309 664569ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:14:25,303 671563ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:14:25,303 671563ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:14:25,303 671563ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:14:25,304 671564ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:14:26,008 672268ms MainViewModel          SetLesson          - || == Current Item : 29/50
DEBUG 2012-06-30 01:14:26,137 672397ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:14:26,137 672397ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:14:34,139 680398ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:14:34,139 680398ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:14:34,140 680399ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :8
DEBUG 2012-06-30 01:14:34,140 680399ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:14:34,140 680399ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:14:41,155 687415ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:14:41,155 687415ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:14:41,155 687415ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:14:41,155 687415ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:14:42,256 688516ms MainViewModel          SetLesson          - || == Current Item : 30/50
DEBUG 2012-06-30 01:14:42,363 688623ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:14:42,364 688624ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:14:42,541 688801ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-06-30 01:14:44,266 690525ms MainViewModel          CancelExecute      - ||{*} === Cancel Command Executed === 
INFO  2012-06-30 01:14:44,784 691043ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
DEBUG 2012-06-30 01:14:45,737 691996ms MainViewModel          oseTimerPopup>b__2 - || == Popup is current Stoped
DEBUG 2012-06-30 01:14:45,738 691997ms MainViewModel          oseTimerPopup>b__2 - || ==> CloseTimerPopup
DEBUG 2012-06-30 01:14:45,739 691998ms MainViewModel          oseTimerPopup>b__2 - || == Timer tick (_timerPopup) Status : False
INFO  2012-06-30 01:14:47,190 693449ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
INFO  2012-06-30 23:24:49,207 2809551ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-30 23:24:53,782 2814126ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
INFO  2012-07-01 00:12:46,996 5687340ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-01 00:12:55,239 5695583ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-01 00:12:56,783 5697127ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
INFO  2012-07-01 00:14:48,901 5809245ms MainViewModel          HiddenPopupExecute - ||{*} === Hidden Popup Command Executed === 
DEBUG 2012-07-01 00:14:48,905 5809249ms MainViewModel          HiddenPopupExecute - || == Popup Icon Status Is Close : False
INFO  2012-07-01 00:14:54,026 5814370ms MainViewModel          ShowPopupExecute   - ||{*} === Show Popup Command Executed === 
INFO  2012-07-01 00:14:56,273 5816617ms MainViewModel          CancelExecute      - ||{*} === Cancel Command Executed === 
DEBUG 2012-07-01 00:14:57,768 5818112ms MainViewModel          oseTimerPopup>b__2 - || == Popup is current Stoped
DEBUG 2012-07-01 00:14:57,790 5818134ms MainViewModel          oseTimerPopup>b__2 - || ==> CloseTimerPopup
INFO  2012-07-01 00:14:59,217 5819561ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
